,sample,sex,age,reg,ctg,size,moult,exp,prep,flag,type,qual,length,codeset,set
247,BQun,F,M,,21,,,regen,Luke,FALSE,M,?,6.6,phaw_2,new
248,BQreg,F,M,R,21,,,regen,Luke,FALSE,MR,?,6.6,phaw_2,new
249,BRun,F,O,,21,,,regen,Luke,FALSE,O,?,7.2,phaw_2,new
250,BRreg,F,O,R,21,,,regen,Luke,FALSE,OR,?,7.2,phaw_2,new
251,BSun,F,M,,21,,,regen,Luke,FALSE,M,?,6.3,phaw_2,new
252,BSreg,F,M,R,21,,,regen,Luke,FALSE,MR,?,6.3,phaw_2,new
253,BTun,F,O,,22,,,regen,Luke,FALSE,O,?,7.2,phaw_2,new
254,BTreg,F,O,R,22,,,regen,Luke,FALSE,OR,?,7.2,phaw_2,new
255,BUun,F,O,,22,,,regen,Luke,FALSE,O,?,7.2,phaw_2,new
256,BUreg,F,O,R,22,,,regen,Luke,FALSE,OR,?,7.2,phaw_2,new
257,BVun,F,M,,22,,,regen,Luke,FALSE,M,?,6.9,phaw_2,new
258,BVreg,F,M,R,22,,,regen,Luke,FALSE,MR,?,6.9,phaw_2,new
259,BWun,F,M,,22,,,regen,Luke,FALSE,M,?,6.2,phaw_2,new
260,BWreg,F,M,R,22,,,regen,Luke,FALSE,MR,?,6.2,phaw_2,new
261,BXun,F,M,,22,,,regen,Luke,FALSE,M,?,6.5,phaw_2,new
262,BXreg,F,M,R,22,,,regen,Luke,FALSE,MR,?,6.5,phaw_2,new
263,BYun,F,O,,22,,,regen,Luke,FALSE,O,?,7.5,phaw_2,new
264,BYreg,F,O,R,22,,,regen,Luke,FALSE,OR,?,7.5,phaw_2,new
265,BZun,F,M,,23,,,regen,Luke,FALSE,M,?,6.3,phaw_2,new
266,BZreg,F,M,R,23,,,regen,Luke,FALSE,MR,?,6.3,phaw_2,new
267,CAun,F,O,,23,,,regen,Luke,FALSE,O,?,7.6,phaw_2,new
268,CAreg,F,O,R,23,,,regen,Luke,FALSE,OR,?,7.6,phaw_2,new
269,CBun,F,O,,23,,,regen,Luke,FALSE,O,?,7.1,phaw_2,new
270,CBreg,F,O,R,23,,,regen,Luke,FALSE,OR,?,7.1,phaw_2,new
271,CCun,F,M,,23,,,regen,Luke,FALSE,M,?,6.2,phaw_2,new
272,CCreg,F,M,R,23,,,regen,Luke,FALSE,MR,?,6.2,phaw_2,new
